"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Barpeta,43,GEN,Barpeta,Abdur Rahim Ahmed,Indian National Congress,197165,180265,91.4 %,44719,24.8%
Batadroba,84,GEN,Nagaon,Sibamoni Bora,Indian National Congress,154168,139348,90.4 %,32820,23.6%
Batadroba,84,GEN,Nagaon,Sibamoni Bora,Indian National Congress,154168,139348,90.4 %,32820,23.6%
Bhabanipur,41,GEN,Barpeta,Phanidhar Talukdar,All India United Democratic Front,140698,124566,88.5 %,3227,2.6%
Bhabanipur,41,GEN,Barpeta,Phanidhar Talukdar,All India United Democratic Front,140698,124566,88.5 %,3227,2.6%
Behali,77,GEN,Sonitpur,Ranjit Dutta,Bharatiya Janta Party,120066,102201,85.1 %,29839,29.2%
Behali,77,GEN,Sonitpur,Ranjit Dutta,Bharatiya Janta Party,120066,102201,85.1 %,29839,29.2%
Bihpuria,109,GEN,Lakhimpur,Dr. Amiya Kumar Bhuyan,Bharatiya Janta Party,145910,120712,82.7 %,10178,8.4%
Bihpuria,109,GEN,Lakhimpur,Dr. Amiya Kumar Bhuyan,Bharatiya Janta Party,145910,120712,82.7 %,10178,8.4%
Bijni,33,GEN,Bongaigaon,Ajoy Kumar Ray,Bharatiya Janta Party,152102,138527,91.1 %,1003,0.7%
Bijni,33,GEN,Bongaigaon,Ajoy Kumar Ray,Bharatiya Janta Party,152102,138527,91.1 %,1003,0.7%
Bilasipara East,27,GEN,Dhubri,Samsul Huda,All India United Democratic Front,208656,194036,93.0 %,49300,25.4%
Bilasipara East,27,GEN,Dhubri,Samsul Huda,All India United Democratic Front,208656,194036,93.0 %,49300,25.4%
Bilasipara West,26,GEN,Dhubri,Hafiz Bashir Ahmed,All India United Democratic Front,165134,159886,96.8 %,59758,37.4%
Bilasipara West,26,GEN,Dhubri,Hafiz Bashir Ahmed,All India United Democratic Front,165134,159886,96.8 %,59758,37.4%
Biswanath,76,GEN,Sonitpur,Promod Borthakur,Bharatiya Janta Party,157393,138379,87.9 %,9210,6.7%
Biswanath,76,GEN,Sonitpur,Promod Borthakur,Bharatiya Janta Party,157393,138379,87.9 %,9210,6.7%
Bokajan,17,ST,Karbi Anglong,Numal Momin,Bharatiya Janta Party,141231,117361,83.1 %,17885,15.2%
Bokajan,17,ST,Karbi Anglong,Numal Momin,Bharatiya Janta Party,141231,117361,83.1 %,17885,15.2%
Bokakhat,93,GEN,Golaghat,Atul Bora,Asom Gana Parisad,141335,117945,83.5 %,45181,38.3%
Bokakhat,93,GEN,Golaghat,Atul Bora,Asom Gana Parisad,141335,117945,83.5 %,45181,38.3%
Boko,48,SC,Kamrup,Nandita Das,Indian National Congress,216778,201331,92.9 %,52466,26.1%
Boko,48,SC,Kamrup,Nandita Das,Indian National Congress,216778,201331,92.9 %,52466,26.1%
Bongaigaon,32,GEN,Bongaigaon,Phani Bhusan Choudhury,Asom Gana Parisad,173671,151451,87.2 %,38167,25.2%
Bongaigaon,32,GEN,Bongaigaon,Phani Bhusan Choudhury,Asom Gana Parisad,173671,151451,87.2 %,38167,25.2%
Barchalla,72,GEN,Sonitpur,Ganesh Kumar Limbu,Bharatiya Janta Party,162252,135172,83.3 %,17782,13.2%
